topic,platform,postedAt
혈압_1,인스타그램 릴스,2026-08-05T11:27:09.821Z
혈당_2,페이스북,2026-08-05T11:27:16.455Z
혈당_2,티스토리,2026-08-05T11:27:17.304Z
혈당_2,네이버 블로그,2026-08-05T11:27:18.221Z
혈당_2,네이버 클립,2026-08-05T11:27:19.221Z
혈당_2,인스타그램 릴스,2026-08-05T11:27:20.071Z
혈당_1,페이스북,2026-08-05T11:28:08.171Z
혈당_1,티스토리,2026-08-05T11:28:09.437Z
혈당_1,네이버 블로그,2026-08-05T11:28:10.754Z
혈당_1,네이버 클립,2026-08-05T11:28:11.921Z
혈당_1,인스타그램 릴스,2026-08-05T11:28:12.771Z
피부_1,페이스북,2026-08-05T11:28:25.071Z
피부_1,티스토리,2026-08-05T11:28:26.170Z
피부_1,네이버 블로그,2026-08-05T11:28:27.121Z
피부_1,네이버 클립,2026-08-05T11:28:28.754Z
피부_1,인스타그램 릴스,2026-08-05T11:28:29.471Z
편두통_1,페이스북,2026-08-05T11:28:38.338Z
편두통_1,티스토리,2026-08-05T11:28:39.320Z
편두통_1,네이버 블로그,2026-08-05T11:28:41.454Z
편두통_1,네이버 클립,2026-08-05T11:28:42.487Z
편두통_1,인스타그램 릴스,2026-08-05T11:28:43.454Z
탈모_1,페이스북,2026-08-05T11:28:50.437Z
탈모_1,티스토리,2026-08-05T11:28:52.054Z
탈모_1,네이버 블로그,2026-08-05T11:28:54.154Z
탈모_1,네이버 클립,2026-08-05T11:28:55.087Z
탈모_1,인스타그램 릴스,2026-08-05T11:28:56.737Z
콩팥_1,페이스북,2026-08-05T11:29:03.287Z
콩팥_1,티스토리,2026-08-05T11:29:04.387Z
콩팥_1,네이버 블로그,2026-08-05T11:29:06.454Z
콩팥_1,네이버 클립,2026-08-05T11:29:07.570Z
콩팥_1,인스타그램 릴스,2026-08-05T11:29:08.954Z
췌장_1,페이스북,2026-08-05T11:29:13.939Z
췌장_1,티스토리,2026-08-05T11:29:14.820Z
췌장_1,네이버 블로그,2026-08-05T11:29:17.004Z
췌장_1,네이버 클립,2026-08-05T11:29:19.470Z
췌장_1,인스타그램 릴스,2026-08-05T11:29:21.487Z
가슴쓰림_1,Instagram Reels (EN),2026-08-05T11:35:05.271Z
골다공증_1,Instagram Reels (EN),2026-08-05T11:41:24.734Z
관절_1,Instagram Reels (EN),2026-08-05T11:41:29.050Z
관절_1,Instagram Reels (JA),2026-08-05T11:45:16.383Z
골다공증_1,Instagram Reels (JA),2026-08-05T11:45:21.900Z
가슴쓰림_1,Instagram Reels (JA),2026-08-05T11:45:26.567Z
혈압_1,Instagram Reels (EN),2026-08-05T11:52:43.833Z
갑상선_1,Instagram Reels (JA),2026-08-05T11:58:05.680Z
당뇨_1,Instagram Reels (ES),2026-08-05T12:01:20.446Z
당뇨_1,Instagram Reels (PT),2026-08-05T12:03:34.395Z
골다공증_1,네이버 블로그,2026-08-05T12:18:24.333Z
골다공증_1,티스토리,2026-08-05T12:18:30.900Z
골다공증_1,페이스북,2026-08-05T12:19:34.066Z
통풍_1,페이스북,2026-08-05T12:28:20.793Z
